3-D '/T/r/i/d/i/
lowlight 'l/oU/l/aI/t
lowlihead 'l/oU/l/i/,h/E/d
lowly 'l/oU/l/i/
lown l/u/n
Lowndes l/AU/ndz
Lowry 'l/AU/r/i/
Lowville 'l/AU/v/I/l
low_area l/oU/_'/(@)/r/i//@/
low_beam l/oU/_b/i/m
low_brass l/oU/_br/&/s
low_bunt l/oU/_b/@/nt
low_camp l/oU/_k/&/mp
low_charge l/oU/_/tS//A/r/dZ/
Low_church l/oU/_/tS//[@]/r/tS/
low_class l/oU/_kl/&/s
low_comedian l/oU/_k/@/'m/i/d/i//@/n
low_comedy l/oU/_'k/A/m/I/d/i/
low_cunning l/oU/_'k/@/n/I//N/
low_estimation l/oU/_,/E/st/@/'m/eI//S//@/n
low_explosive l/oU/_/I/k'spl/oU/s/I/v
low_fellow l/oU/_'f/E/l/oU/
low_frequency l/oU/_'fr/i/kw/@/ns/i/
low_fulham l/oU/_'f/U/l/@/m
low_grade l/oU/_gr/eI/d
low_ground l/oU/_gr/AU/nd
low_milling l/oU/_'m/I/l/I//N/
low_opinion l/oU/_/@/'p/I/n/j//@/n
low_pitch l/oU/_p/I//tS/
low_price l/oU/_pr/aI/s
low_priority l/oU/_pr/aI/'/A/r/I/t/i/
low_profile l/oU/_'pr/oU/f/aI/l
low_quality l/oU/_'kw/A/l/I/t/i/
low_relief l/oU/_r/I/'l/i/f
low_taste l/oU/_t/eI/st
low_temperature l/oU/_'t/E/mp/@/r/@//tS//@/r
low_tide l/oU/_t/aI/d
low_visibility l/oU/_,v/I/z/@/'b/I/l/I/t/i/
low_voice l/oU/_v//Oi//s
low_water l/oU/_'w/O/t/@/r
lox l/A/ks
Loxias 'l/A/ks/i//@/s
loxodont 'l/A/ks/@/,d/A/nt
loxodrome 'l/A/ks/@/,dr/oU/m
loxodromic ,l/A/ks/@/'dr/A/m/I/k
loxodromics ,l/A/ks/@/'dr/A/m/I/ks
loxodromy l/A/k's/A/dr/@/m/i/
Loy l//Oi//
loyal 'l//Oi///@/l
loyalist 'l//Oi///@/l/I/st
loyalty 'l//Oi///@/lt/i/
loyalty_oath 'l//Oi///@/lt/i/_/oU//T/
loyal_opposition 'l//Oi///@/l_,/A/p/@/'z/I//S//@/n
Loyce l//Oi//s
Loyde l//Oi//d
Loyola l//Oi//'/oU/l/@/
lozenge 'l/A/z/I/n/dZ/
lozenge-shaped 'l/A/z/I/n/dZ/_/S//eI/pt
lozenge_perforation 'l/A/z/I/n/dZ/_,p/[@]/rf/@/'r/eI//S//@/n
lozengy 'l/A/z/@/n/dZ//i/
Lozere l/O/'z/E/R
Lu l/u/
Lu'therism 'l/u//T//@/,riz/@/m
Lu-do-vic lYd/O/'v/i/k
Lualaba ,l/u//A/'l/A/b/A/
Luanda l/u/'/&/nd/@/
Luanne l/u/'/&/n
luau l/u/'/AU/
lubber 'l/@/b/@/r
lubber-hole 'l/@/b/@/r_h/oU/l
lubberly 'l/@/b/@/rl/i/
lubber_fend 'l/@/b/@/r_f/E/nd
lubber_grasshopper 'l/@/b/@/r_'gr/&/s,h/A/p/@/r
lubber_line 'l/@/b/@/r_l/aI/n
Lubbock 'l/@/b/@/k
lube l/u/b
Lubeck 'lYb/E/k
lube_oil l/u/b_//Oi//l
Lubiniezky ,l/u/b/I/n'/j//E/tsk/i/
Lubitsch 'l/u/b/I//tS/
Lublin 'l/j//U/bl/I/n
lubra 'l/u/br/@/
lubric 'l/u/br/I/k
lubricant 'l/u/br/@/k/@/nt
lubricate 'l/u/br/@/,k/eI/t
lubricator 'l/u/br/@/,k/eI/t/@/r
lubricatory 'l/u/br/@/k/@/,t/oU/r/i/
lubricious l/u/'br/I//S//@/s
lubricity l/u/'br/I/s/I/t/i/
lubricous 'l/u/br/@/k/@/s
lubritorium ,l/u/br/I/'t/oU/r/i//@/m
Lubumbashi l/U/'b/U/mb/A//S//i/
Luca 'l/u/k/A/
Lucan 'l/u/k/@/n
Lucania l/u/'k/eI/n/i//@/
lucarne l/u/'k/A/rn
Lucas 'l/u/k/@/s
Lucas_van 'l/u/k/A/s_v/A/n
Luca_della 'l/u/k/A/_'d/E/ll/A/
Lucca 'l/u/kk/A/
Luce d/@/'l/u/s
luce l/u/s
Lucelle l/u/'s/E/l
lucent 'l/u/s/@/nt
lucently 'l/u/s/@/ntl/i/
lucerne l/u/'s/[@]/rn
Lucerne l/u/'s/[@]/rn
luces 'l/u/s/i/z
Luchesse l/u/'k/eI/z/i/
Lucia 'l/u//S//@/
Lucian 'l/u//S//@/n
Lucianic ,l/u/s/I/'/&/n/I/k
Lucianne ,l/u/s/i/'/&/n
lucid 'l/u/s/I/d
lucida 'l/u/s/I/d/@/
lucid_interval 'l/u/s/I/d_'/I/nt/@/rv/@/l
Lucien 'l/u//S//@/n
Lucien_Deblois 'l/u/s/i//E/n_'d/E/bl/u/_/A/
Lucifer 'l/u/s/@/f/@/r
luciferase l/u/'s/I/f/@/,r/eI/s
luciferin l/u/'s/I/f/@/r/I/n
luciferous l/u/'s/I/f/@/r/@/s
lucifugous l/u/'s/I/f/j//U/g/@/s
Lucila l/u/'s/i/l/A/
Lucilius l/u/'s/I/l/i//@/s
Lucille l/u/'s/i/l
Lucina l/u/'s/aI/n/@/
Lucinda l/u/'s/I/nd/@/
Lucite 'l/u/s/aI/t
Lucite_paint 'l/u/s/aI/t_p/eI/nt
Lucius 'l/u//S//i//@/s
luck l/@/k
luckie 'l/@/k/i/
luckily 'l/@/k/@/l/i/
luckless 'l/@/kl/I/s
lucklessly 'l/@/kl/I/sl/i/
lucklessness 'l/@/kl/I/sn/E/s
Lucknow 'l/@/kn/AU/
Lucky 'l/@/k/i/
lucky 'l/@/k/i/
lucky_bean 'l/@/k/i/_b/i/n
lucky_break 'l/@/k/i/_br/eI/k
lucky_dog 'l/@/k/i/_d/O/g
lucky_person 'l/@/k/i/_'p/[@]/rs/@/n
lucky_piece 'l/@/k/i/_p/i/s
lucky_shot 'l/@/k/i/_/S//A/t
lucky_strike 'l/@/k/i/_str/aI/k
luck_penny l/@/k_'p/E/n/i/
lucrative 'l/u/kr/@/t/I/v
lucratively 'l/u/kr/@/t/I/vl/i/
lucrativeness 'l/u/kr/@/t/I/vn/E/s
lucrative_interest 'l/u/kr/@/t/I/v_'/I/nt/@/r/I/st
lucre 'l/u/k/@/r
Lucrece l/u/'kr/i/s
Lucretia l/U/'kr/i//S//@/
Lucretius l/u/'kr/i//S//@/s
Lucrezia_Borgia l/u/'kr/E/ts/i//@/_'b/O/r/dZ//@/
lucubrate 'l/u/k/j//U/,br/eI/t
lucubration ,l/u/k/j//U/'br/eI//S//@/n
luculent 'l/u/k/j//U/l/@/nt
luculently 'l/u/k/j//U/l/@/ntl/i/
Lucullan l/u/'k/@/l/@/n
Lucullean ,l/u/k/@/'l/i//@/n
Lucullus l/u/'k/@/l/@/s
Lucy 'l/u/s/i/
Luc_Robitaille l/U/k/@/_r/oU/b/I/'t/j/
Luddite 'l/@/d/aI/t
Ludendorff 'l/u/d/-/n,d/O/rf
Luderitz 'lYd/@/R/I/ts
Ludhiana ,l/U/d/i/'/A/n/A/
ludicrous 'l/u/d/@/kr/@/s
ludicrously 'l/u/d/@/kr/@/sl/i/
ludicrousness 'l/u/d/@/kr/@/sn/E/s
Ludie 'l/u/d/i/
Ludington 'l/@/d/I//N/t/@/n
Ludlow 'l/@/dl/oU/
Ludmila_Belousova l/u/d'm/i/l/@/_b/E/l/A/'/u/s/@/v/@/
Ludovico ,l/u/d/O/'v/i/k/O/
Ludvig 'l/u/dv/I/g
Ludwig 'l/u/dv/I//x/
Ludwigshafen 'l/u/tv/I//x/s,h/A/f/@/n
Ludwig_Ehrhard 'l/u/tv/I/k_'/E/rh/A/rt
Luebke 'lYpk/@/
Luella l/u/'/E/l/@/
Luening 'l/u/n/I//N/
lues 'l/u//i/z
luetic l/u/'/E/t/I/k
luff l/@/f
luffa 'l/@/f/@/
luff_tackle l/@/f_'t/&/k/@/l
Lufkin 'l/@/fk/I/n
Luftwaffe 'l/U/ft,v/A/f/@/
lug l/@/g
Lug l/U//x/
lug-rigged 'l/@/g'r/I/gd
Luganda l/u/'g/&/nd/@/
Lugansk l/U/'g/A/nsk
luge l/u//Z/
Luger 'l/u/g/@/r
luggage 'l/@/g/I//dZ/
luggage_shop 'l/@/g/I//dZ/_/S//A/p
luggage_tan 'l/@/g/I//dZ/_t/&/n
luggage_train 'l/@/g/I//dZ/_tr/eI/n
luggage_van 'l/@/g/I//dZ/_v/&/n
lugger 'l/@/g/@/r
lugger_topsail 'l/@/g/@/r_'t/A/p,s/eI/l
luggie 'l/@/g/i/
lughole 'l/@/gh/oU/l
Lugnasad 'l/u/n/@/s/@/
Lugo 'l/u/g/O/
Lugones l/u/'g/O/n/E/s
lugsail 'l/@/g,s/eI/l
lugubriosity l/@/,g/u/br/i/'/A/s/I/t/i/
lugubrious l/U/'g/u/br/i//@/s
lugubriously l/U/'g/u/br/i//@/sl/i/
lugubriousness l/U/'g/u/br/i//@/sn/E/s
lugworm 'l/@/g,w/[@]/rm
lug_foresail l/@/g_'f/oU/r,s/eI/l
lug_hook l/@/g_h/U/k
lug_nut l/@/g_n/@/t
lug_topsail l/@/g_'t/A/p,s/eI/l
lug_wrench l/@/g_r/E/n/tS/
Luigi l/u/'/i//dZ//i/
Luigi_Fassati 'lw/i//dZ//i/_f/oU/s'/A/t/i/
Luik l//Oi//k
Luis lw/i/s
Luis_Corvalan l/u/'/i/s_k/oU/rv/A/'l/A/n
Luis_Echeverria l/u/'/i/s_/eI//tS//A/v/A/'r/i//A/
Luis_Herrera_Campins l/u/'/i/s_/E/'r/E/r/A/_k/A/m'p/i/ns
Luis_Jacome_Chavez 'h/A/k/oU//j/m/eI/_'/tS//A/v/@/z
Luis_Maria 'l/u//I/s_m/@/'r/i//@/
Lujan 'l/u/h/&/n
Lukacs 'l/u/k/A//tS/
Lukan 'l/u/k/@/n
Lukas 'l/u/k/@/s
Luke l/u/k
Lukenbill 'l/u/k/E/nb/I/l
lukewarm 'l/u/k'w/O/rm
lukewarmly 'l/u/k'w/O/rml/i/
lukewarmness 'l/u/k'w/O/rmn/E/s
lukewarm_support 'l/u/k'w/O/rm_s/@/'p/oU/rt
Luks l/@/ks
Lula 'l/u/l/@/
lulab l/u/'l/A/b
lulabim l/u/l/A/'b/i/m
lulav 'l/u/l/O/v
lulavim ,l/u/l/O/'v/i/m
Lulea 'l/u/l/E/,/O/
Lulie 'l/u/l/i/
lull l/@/l
lullaby 'l/@/l/@/,b/aI/
Lully 'l/u/l/i/
lulu 'l/u/l/u/
Luluabourg ,l/u/lw/A/'b/u/r
lumbago l/@/m'b/eI/g/oU/
lumbar 'l/@/mb/@/r
lumbar_region 'l/@/mb/@/r_'r/i//dZ//@/n
lumber 'l/@/mb/@/r
lumbering 'l/@/mb/@/r/I//N/
lumberingly 'l/@/mb/@/r/I//N/l/i/
lumberingness 'l/@/mb/@/r/I//N/n/E/s
lumbering_pace 'l/@/mb/@/r/I//N/_p/eI/s
lumberjack 'l/@/mb/@/r,/dZ//&/k
lumberman 'l/@/mb/@/rm/@/n
lumbermill 'l/@/mb/@/r,m/I/l
lumbersome 'l/@/mb/@/s/@/m
Lumberton 'l/@/mb/@/rt/@/n
lumberyard 'l/@/mb/@/r,/j//A/rd
lumber_jacket 'l/@/mb/@/r_'/dZ//&/k/I/t
lumber_kiln 'l/@/mb/@/r_k/I/l
lumber_room 'l/@/mb/@/r_r/u/m
lumbosacral ,l/@/mb/oU/'s/eI/kr/@/l
lumbrical 'l/@/mbr/I/k/@/l
lumbricalis ,l/@/mbr/@/'k/eI/l/I/s
lumbricoid 'l/@/mbr/@/,k//Oi//d
Lumen 'l/u/m/@/n
lumen 'l/u/m/@/n
lumen-hour 'l/u/m/@/n_/AU/r
Lumiere lY'm/j//E/R
Luminal 'l/u/m/@/n/-/l
luminal 'l/u/m/I/n/@/l
luminance 'l/u/m/@/n/@/ns
luminary 'l/u/m/@/,n/E/r/i/
lumine 'l/u/m/I/n
luminesce ,l/u/m/@/'n/E/s
luminescence ,l/u/m/@/'n/E/s/@/ns
luminescent ,l/u/m/@/'n/E/s/@/nt
luminiferous ,l/u/m/@/'n/I/f/@/r/@/s
luminophore 'l/u/m/@/n/@/,f/oU/r
luminosity ,l/u/m/@/'n/A/s/I/t/i/
luminosity_curve ,l/u/m/@/'n/A/s/I/t/i/_k/[@]/rv
luminous 'l/u/m/@/n/@/s
luminous_energy 'l/u/m/@/n/@/s_'/E/n/@/r/dZ//i/
luminous_flux 'l/u/m/@/n/@/s_fl/@/ks
luminous_intensity 'l/u/m/@/n/@/s_/I/n't/E/ns/I/t/i/
luminous_paint 'l/u/m/@/n/@/s_p/eI/nt
luminous_power 'l/u/m/@/n/@/s_'p/AU//@/r
luminous_range 'l/u/m/@/n/@/s_r/eI/n/dZ/
lumisterol l/u/'m/I/st/@/,r/O/l
lumme 'l/@/m/i/
lummox 'l/@/m/@/ks
lump l/@/mp
lumpectomy l/@/m'p/E/kt/@/m/i/
lumpen 'l/@/mp/@/n
lumpenproletariat 'l/@/mp/@/n,pr/oU/l/I/,t/(@)/r/i//@/t
lumper 'l/@/mp/@/r
lumpfish 'l/@/mp,f/I//S/
lumpish 'l/@/mp/I//S/
lumpsucker 'l/@/mp,s/@/k/@/r
lumpy 'l/@/mp/i/
lump_coal l/@/mp_k/oU/l
lump_sum l/@/mp_s/@/m
lump_together l/@/mp_t/U/'g/E//D//@/r
Lumumba l/U/'m/U/mb/@/
Luna 'l/u/n/@/
lunacy 'l/u/n/@/s/i/
lunar 'l/u/n/@/r
lunar-diurnal 'l/u/n/@/r_d/aI/'/[@]/rn/-/l
lunarian l/u/'n/(@)/r/i//@/n
lunar_base 'l/u/n/@/r_b/eI/s
lunar_caustic 'l/u/n/@/r_'k/O/st/I/k
lunar_city 'l/u/n/@/r_'s/I/t/i/
lunar_colony 'l/u/n/@/r_'k/A/l/@/n/i/
lunar_corona 'l/u/n/@/r_k/@/'r/oU/n/@/
lunar_cycle 'l/u/n/@/r_'s/aI/k/@/l
lunar_day 'l/u/n/@/r_d/eI/
lunar_distance 'l/u/n/@/r_'d/I/st/@/ns
lunar_eclipse 'l/u/n/@/r_/I/'kl/I/ps
lunar_halo 'l/u/n/@/r_'h/eI/l/oU/
lunar_insertion 'l/u/n/@/r_/I/n's/[@]/r/S//@/n
lunar_landscape 'l/u/n/@/r_'l/&/nd,sk/eI/p
lunar_mare 'l/u/n/@/r_m/(@)/r
lunar_module 'l/u/n/@/r_'m/A//dZ//u/l
lunar_month 'l/u/n/@/r_m/@/n/T/
lunar_rainbow 'l/u/n/@/r_'r/eI/n,b/oU/
lunar_rill 'l/u/n/@/r_r/I/l
lunar_tide 'l/u/n/@/r_t/aI/d
lunar_waste 'l/u/n/@/r_w/eI/st
lunar_year 'l/u/n/@/r_/j//i/r
lunate 'l/u/n/eI/t
lunately 'l/u/n/eI/tl/i/
lunatic 'l/u/n/@/t/I/k
lunatical l/u/'n/&/t/I/k/@/l
lunatic_asylum 'l/u/n/@/t/I/k_/@/'s/aI/l/@/m
lunatic_fringe 'l/u/n/@/t/I/k_fr/I/n/dZ/
lunation l/u/'n/eI//S//@/n
lunch l/@/n/tS/
luncheon 'l/@/n/tS//@/n
luncheonette ,l/@/n/tS//@/'n/E/t
lunchhook 'l/@/n/tS/,h/U/k
lunchroom 'l/@/n/tS/,r/u/m
lunchtime 'l/@/n/tS/,t/aI/m
lunch_counter l/@/n/tS/_'k/AU/nt/@/r
lunch_wagon l/@/n/tS/_'w/&/g/@/n
Lundberg 'l/@/ndb/@/rg
Lundy 'l/@/nd/i/
lune l/u/n
lunes l/u/nz
Lunetta l/u/'n/E/t/@/
lunette l/u/'n/E/t
Luneville lYn/eI/'v/i/l
lung l/@//N/
lungan 'l/@//N/g/@/n
lunge l/@/n/dZ/
lungee 'l/U//N/g/i/
lungeous 'l/@/n/dZ//@/s
lunger 'l/@//N//@/r
lungfish 'l/@//N/,f/I//S/
lungi 'l/U//N/g/i/
Lungki 'l/U//N/'k/i/
lungworm 'l/@//N/,w/[@]/rm
lungwort 'l/@//N/,w/[@]/rt
lungyi 'l/U//N/g/i/
lung_book l/@//N/_b/U/k
lung_cancer l/@//N/_'k/&/ns/@/r
lung_fever l/@//N/_'f/i/v/@/r
lung_fish l/@//N/_f/I//S/
lung_fluke l/@//N/_fl/u/k
lung_plague l/@//N/_pl/eI/g
Lunik 'l/u/n/I/k
lunisolar ,l/u/n/I/'s/oU/l/@/r
lunisolar_precession ,l/u/n/I/'s/oU/l/@/r_pr/i/'s/E//S//@/n
lunitidal ,l/u/n/I/'t/aI/d/-/l
lunitidal_interval ,l/u/n/I/'t/aI/d/-/l_'/I/nt/@/rv/@/l
lunkhead 'l/@//N/k,h/E/d
Lunt l/@/nt
lunt l/@/nt
lunula 'l/u/n/j//@/l/@/
lunular 'l/u/n/j//@/l/@/r
lunulate 'l/u/n/j//@/,l/eI/t
lunule 'l/u/n/j//u/l
luny 'l/u/n/i/
Lupe l/u/p
Lupercalia 'l/u/p/@/r'k/eI/l/i//@/
Lupercus l/u/'p/[@]/rk/@/s
lupin 'l/u/p/I/n
lupine 'l/u/p/aI/n
lupoma l/u/'p/oU/m/@/
lupulin 'l/u/p/j//@/l/I/n
lupulone 'l/u/p/j//@/,l/oU/n
Lupus 'l/u/p/@/s
lupus 'l/u/p/@/s
lur l/U//@/r
Lura 'l/U/r/@/
Luray l/U/'r/eI/
Lurcat lYR'SA
lurch l/[@]/r/tS/
lurcher 'l/[@]/r/tS//@/r
lurdan 'l/[@]/rd/-/n
lure l/U/r
Lurex 'l/j//U//@/r/E/ks
lurid 'l/U/r/I/d
luridly 'l/U/r/I/dl/i/
luridness 'l/U/r/I/dn/E/s
lurid_imagination 'l/U/r/I/d_/I/,m/&//dZ//@/'n/eI//S//@/n
Luristan ,l/U/r/I/'st/A/n
lurk l/[@]/rk
Lurlei 'l/U/rl/aI/
Lurline 'l/[@]/rl/i/n
Lurton 'l/[@]/rt/-/n
Lusaka l/u/'s/A/k/@/
Lusatia l/u/'s/eI//S//i//@/
Lusatian l/u/'s/eI//S//@/n
luscious 'l/@//S//@/s
lusciousness 'l/@//S//@/sn/E/s
lush l/@//S/
lushbum 'l/@//S/b/@/m
lushly l/@//S/l/i/
lushness l/@//S/n/E/s
lushy 'l/@//S//i/
Lusia l/u/'s/aI//@/
Lusitania ,l/u/s/I/'t/eI/n/i//@/
lust l/@/st
lust-born l/@/st_b/O/rn
lust-burning l/@/st_'b/[@]/rn/I//N/
lust-tempting l/@/st_'t/E/mpt/I//N/
luster 'l/@/st/@/r
lustered 'l/@/st/@/rd
lusterer 'l/@/st/@/r/@/r
lustering 'l/@/st/@/r/I//N/
lusterware 'l/@/st/@/r,w/(@)/r
luster_pottery 'l/@/st/@/r_'p/A/t/@/r/i/
luster_wool 'l/@/st/@/r_w/U/l
lustful 'l/@/stf/@/l
lustful_leer 'l/@/stf/@/l_l/i/r
lustihood 'l/@/st/i/,h/U/d
lustral 'l/@/str/@/l
lustrate 'l/@/str/eI/t
lustrative 'l/@/str/@/t/I/v
lustre 'l/@/st/@/r
lustred 'l/@/st/@/rd
lustreware 'l/@/st/@/r,w/(@)/r
lustring 'l/@/str/I//N/
lustrous 'l/@/str/@/s
lustrously 'l/@/str/@/sl/i/
lustrousness 'l/@/str/@/sn/E/s
lustrum 'l/@/str/@/m
lusty 'l/@/st/i/
lust_after l/@/st_'/&/ft/@/r
lust_for l/@/st_f/O/r
lusus_naturae 'l/u/s/@/s_n/@/'t/U/r/i/
lutanist 'l/u/t/-/n/I/st
Lutcher 'l/@//tS//@/r
lute l/u/t
lute-backed l/u/t_b/&/kt
lute-fashion l/u/t_'f/&//S//@/n
lute-voiced l/u/t_v//Oi//st
luteal 'l/u/t/i//@/l
lutecium l/U/'t/i//S//i//@/m
lutein 'l/u/t/i//I/n
luteinize 'l/u/t/i//@/,n/aI/z
luteinizing 'l/u/t/@/,n/aI/z/i//N/
lutenist 'l/u/t/-/n/I/st
luteofulvous ,l/u/t/I//oU/'f/@/lv/@/s
luteolin 'l/u/t/i//@/l/I/n
luteotrophic ,l/u/t/i//@/'tr/A/f/I/k
luteotrophin ,l/u/t/i//@/'tr/oU/f/I/n
luteotropic ,l/u/t/i//@/'tr/A/p/I/k
luteotropin ,l/u/t/i//@/'tr/oU/p/I/n
luteous 'l/u/t/i//@/s
lutestring 'l/u/t,str/I//N/
Lutetian l/u/'t/i/t/i//@/n
lutetium l/u/'t/i//S//i//@/m
lute_maker l/u/t_'m/eI/k/@/r
lute_player l/u/t_'pl/eI//@/r
lute_stern l/u/t_st/[@]/rn
lute_tablature l/u/t_'t/&/bl/@//tS//@/r
Luther 'l/u//T//@/r
Lutheran 'l/u//T//@/r/@/n
luthern 'l/u//T//@/rn
Luthuli l/u/'t/u/l/i/
luting 'l/u/t/I//N/
lutist 'l/u/t/I/st
lutose 'l/u/t/oU/s
Lutuamian ,l/u/t/u/'/&/m/i//@/n
Lutyens 'l/@//tS//@/nz
Lutzen 'lYts/@/n
Lutzow-Holm_Bay 'lYts/O/f_,h/oU/lm
Luverne l/u/'v/[@]/rn
Luvullo l/@/'v/@/l/oU/
Luwian 'l/u//i//@/n
lux l/@/ks
luxate 'l/@/ks/eI/t
luxe l/U/ks
Luxembourg 'l/@/ks/@/m,b/[@]/rg
Luxemburg 'l/@/ks/@/m,b/[@]/rg
Luxor 'l/@/ks/O/r
luxuriance l/@/g'/Z//U/r/i//@/ns
luxuriant l/@/g'/Z//U/r/i//@/nt
luxuriantly l/@/g'/Z//U/r/i//@/ntl/i/
luxuriate l/@/g'/Z//U/r/i/,/eI/t
luxurious l/@/g'/Z//U/r/i//@/s
luxuriously l/@/g'/Z//U/r/i//@/sl/i/
luxuriousness l/@/g'/Z//U/r/i//@/sn/E/s
luxury 'l/@/k/S//@/r/i/
luxury-loving 'l/@/k/S//@/r/i/_'l/@/v/I//N/
luxury-proof 'l/@/k/S//@/r/i/_pr/u/f
luxury_price 'l/@/k/S//@/r/i/_pr/aI/s
luxury_tax 'l/@/k/S//@/r/i/_t/&/ks
Luzerne l/u/'z/[@]/rn
Luzon l/u/'z/A/n
Lu_Hsun 'l/u/_'/S/Yn
Lwoff lw/O/f
Lyaeus l/aI/'/i//@/s
Lyall 'l/aI//@/l
Lyallpur 'l/aI//@/l,p/U/r
lyam-hound 'l/aI//@/m,h/AU/nd
lyard 'l/aI//@/rd
lyart 'l/aI//@/rt
Lyautey l/j//oU/'t/E/
Lycaeus l/aI/'s/i//@/s
lycanthrope 'l/aI/k/@/n,/T/r/oU/p
lycanthropic ,l/aI/k/@/n'/T/r/A/p/I/k
lycanthropy l/aI/'k/&/n/T/r/@/p/i/
Lycaon l/aI/'k/eI//A/n
Lycaonia ,l/I/k/eI/'/oU/n/i//@/
lycee l/i/'s/eI/
Lyceum l/aI/'s/i//@/m
lyceum l/aI/'s/i//@/m
lych l/I//tS/
lych-gate l/I//tS/_g/eI/t
lychnis 'l/I/kn/I/s
lychnoscope 'l/I/kn/@/,sk/oU/p
lychnoscopic ,l/I/kn/@/'sk/A/p/I/k
lych_gate l/I//tS/_g/eI/t
Lycia 'l/I//S//i//@/
Lycian 'l/I//S//i//@/n
Lycidas 'l/I/s/I/d/@/s
lycine 'l/aI/s/i/n
Lycomedes ,l/aI/k/@/'m/i/d/i/z
Lycon 'l/aI/k/A/n
Lycophron 'l/aI/k/@/,fr/A/n
lycopodium ,l/aI/k/@/'p/oU/d/i//@/m
lycopodium_powder ,l/aI/k/@/'p/oU/d/i//@/m_'p/AU/d/@/r
lycosid l/aI/'k/oU/s/I/d
Lycotherses ,l/aI/k/@/'/T//[@]/rs/i/z
Lycurgus l/aI/'k/[@]/rg/@/s
Lycus 'l/aI/k/@/s
lyddite 'l/I/d/aI/t
Lydgate 'l/I/d,g/eI/t
Lydia 'l/I/d/i//@/
Lydian 'l/I/d/i//@/n
Lydian_mode 'l/I/d/i//@/n_m/oU/d
Lydian_stone 'l/I/d/i//@/n_st/oU/n
lye l/aI/
Lyell 'l/aI//@/l
lye_boil l/aI/_b//Oi//l
lygaeid l/aI/'/dZ//i//I/d
lygaeid_bug l/aI/'/dZ//i//I/d_b/@/g
Lygodesma ,l/aI/g/@/'d/E/sm/@/
lying 'l/aI//I//N/
lying-in 'l/aI//I//N/'/I/n
lying_down 'l/aI//I//N/_d/AU/n
lying_hid 'l/aI//I//N/_h/I/d
lying_low 'l/aI//I//N/_l/oU/
lying_press 'l/aI//I//N/_pr/E/s
lying_pretension 'l/aI//I//N/_pr/i/'t/E/n/S//@/n
lying_wall 'l/aI//I//N/_w/O/l
Lyle l/aI/l
Lyly 'l/I/l/i/
Lyman 'l/aI/m/@/n
lyme-hound 'l/aI/m,h/AU/nd
lymph l/I/mf
lymph-vascular l/I/mf_'v/&/sk/j//@/l/@/r
lymphad 'l/I/mf/&/d
lymphadenitis l/I/m,f/&/d'/-/n/aI/t/I/s
lymphadenoma l/I/m,f/&/d'/-/n/oU/m/@/
lymphangial l/I/m'f/&/n/dZ//i//@/l
lymphangiitis l/I/m,f/&/n/dZ//i/'/aI/t/I/s
lymphangioma l/I/m,f/&/n/dZ//i/'/oU/m/@/
lymphangiomatous l/I/m,f/&/n/dZ//i/'/A/m/@/t/@/s
lymphangitis ,l/I/mf/&/n'/dZ//aI/t/I/s
lymphatic l/I/m'f/&/t/I/k
lymphatolysis ,l/I/mf/@/'t/A/l/I/s/I/s
lymphatolytic ,l/I/mf/@/'t/-/l/I/t/I/k
lymphoblast 'l/I/mf/@/,bl/&/st
lymphocyte 'l/I/mf/@/,s/aI/t
lymphocytic ,l/I/mf/@/'s/I/t/I/k
lymphocytosis ,l/I/mf/@/s/aI/'t/oU/s/I/s
lymphocytotic ,l/I/mf/oU/s/aI/'t/A/t/I/k
lymphogranuloma ,l/I/mf/@/,gr/&/n/j//@/'l/oU/m/@/
lymphoid 'l/I/mf//Oi//d
lymphoidocyte l/I/m'f//Oi//d/@/,s/aI/t
lymphoma l/I/m'f/oU/m/@/
lymphopenia ,l/I/mf/oU/'p/i/n/i//@/
lymphosarcoma ,l/I/mf/oU/s/A/r'k/oU/m/@/
lymph_cell l/I/mf_s/E/l
lymph_corpuscle l/I/mf_'k/O/rp/@/s/@/l
lymph_gland l/I/mf_gl/&/nd
lymph_heart l/I/mf_h/A/rt
lymph_node l/I/mf_n/oU/d
Lynbrook 'l/I/n,br/U/k
lyncean l/I/n's/i//@/n
Lynch l/I/n/tS/
lynch l/I/n/tS/
Lynchburg 'l/I/n/tS/b/[@]/rg
lynchet 'l/I/n/tS//I/t
lynching 'l/I/n/tS//I//N/
lynch_law l/I/n/tS/_l/O/
Lynda 'l/I/nd/@/
Lynden 'l/I/nd/@/n
Lyndhurst 'l/I/ndh/[@]/rst
Lyndon 'l/I/nd/@/n
Lyndora l/I/n'd/oU/r/@/
Lynen 'l/i/n/E/n
Lynette l/I/'n/E/t
Lyngi 'lY/N/g/i/
Lynn l/I/n
Lynum 'l/aI/n/@/m
Lynwood 'l/I/n,w/U/d
lynx l/I//N/ks
lynx-eyed 'l/I//N/ks,/aI/d
lynx_cat l/I//N/ks_k/&/t
lynx_flower l/I//N/ks_'fl/AU//@/r
lyocratic ,l/aI//@/'kr/&/t/I/k
lyolysis l/aI/'/A/l/I/s/I/s
lyolytic ,l/aI//@/'l/I/t/I/k
Lyon 'l/aI//@/n
Lyonnais l/i//O/'n/E/
lyonnaise ,l/aI//@/'n/eI/z
Lyonnesse ,l/aI//@/'n/E/s
Lyons 'l/aI//@/nz
Lyon_bean 'l/aI//@/n_b/i/n
